Date,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,TurnoverRate,MA10,MA50,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,RSI,Momentum,ATR
2021-05-07,7.52,7.24,7.52,7.18,121600,89214366.0,4.48,-4.61,-0.35,5.98,7.550999999999999,6.9441999999999995,7.423479777935757,7.239830303147355,0.18364947478840232,0.19827119062154913,-0.014621715833146809,54.82758620689656,-0.12029161603888217,0.6307142857142859
2021-05-10,7.1,7.14,7.27,7.0,85694,61060841.0,3.73,-1.38,-0.1,4.22,7.4879999999999995,6.9578,7.379867504407178,7.23243546587718,0.1474320385299981,0.18810336020323892,-0.040671321673240834,53.89830508474576,-0.08108108108108103,0.6435714285714287
2021-05-11,7.11,7.15,7.28,7.01,77237,55061765.0,3.78,0.14,0.01,3.8,7.458,6.971,7.344503272959921,7.226329135071463,0.11817413788845776,0.1741175157402827,-0.05594337785182493,53.02245250431779,-0.04026845637583887,0.6485714285714287
2021-05-12,7.16,7.08,7.19,7.06,60775,43190362.0,1.82,-0.98,-0.07,2.99,7.345999999999999,6.9828,7.303810461735318,7.215489939880984,0.08832052185433348,0.15695811696309284,-0.06863759510875936,46.13899613899614,-0.13658536585365844,0.6071428571428573
2021-05-13,7.02,6.9,7.11,6.9,68295,47767075.0,2.97,-2.54,-0.18,3.36,7.298,6.99,7.241685775314499,7.192120314704615,0.04956546060988387,0.13547958569245105,-0.08591412508256718,35.57483731019522,-0.06504065040650397,0.5685714285714286
2021-05-14,6.92,7.13,7.26,6.9,90553,64471029.0,5.22,3.33,0.23,4.45,7.314,6.999,7.224503348343038,7.187518809911681,0.03698453843135763,0.11578057624023237,-0.07879603780887474,42.69406392694063,0.022955523672883782,0.5071428571428571
2021-05-17,7.09,6.96,7.13,6.91,72035,50274113.0,3.09,-2.38,-0.17,3.54,7.243,7.005400000000001,7.183810525521032,7.170665564733038,0.013144960787994542,0.09525345314978481,-0.08210849236179027,44.2080378250591,-0.09256844850065193,0.47857142857142854
2021-05-18,6.91,6.84,6.93,6.75,58331,39752097.0,2.59,-1.72,-0.12,2.87,7.151999999999999,7.01,7.130916598517796,7.146171819197257,-0.015255220679461168,0.07315171838393562,-0.08840693906339679,31.111111111111114,-0.11741935483870969,0.44
2021-05-19,6.84,6.91,6.95,6.78,46097,31567604.0,2.49,1.02,0.07,2.27,7.094000000000001,7.016800000000001,7.0969294295150585,7.128677610367831,-0.0317481808527722,0.052171738536594056,-0.08391991938936626,41.75438596491229,-0.07743658210947935,0.3935714285714286
2021-05-20,6.9,6.85,6.99,6.82,42758,29492166.0,2.46,-0.87,-0.06,2.1,7.0200000000000005,7.0212,7.058940286512741,7.108034824414657,-0.04909453790191609,0.03191848324889203,-0.08101302115080812,47.599999999999994,-0.0974967061923584,0.3585714285714286
2021-05-21,6.84,7.13,7.13,6.82,76398,53643711.0,4.53,4.09,0.28,3.76,7.009,7.031999999999999,7.069872550126166,7.109661874458016,-0.03978932433185012,0.017576921732743597,-0.057366246064593715,37.01923076923077,-0.015193370165745845,0.3307142857142857
2021-05-24,7.12,7.2,7.33,7.01,102861,74124167.0,4.49,0.98,0.07,5.06,7.015000000000001,7.046,7.0898921577990635,7.116353587461126,-0.026461429662062663,0.008769251453782346,-0.03523068111584501,36.71497584541064,0.008403361344537785,0.3014285714285715
2021-05-25,7.19,7.05,7.19,7.02,62641,44305636.0,2.36,-2.08,-0.15,3.08,7.005,7.0614,7.0837549027530535,7.11143850690845,-0.027683604155396502,0.0014786803319465757,-0.02916228448734308,38.775510204081634,-0.013986013986014068,0.27285714285714296
2021-05-26,7.05,7.16,7.45,7.0,86691,62364751.0,6.38,1.56,0.11,4.26,7.013,7.0766,7.095484917714122,7.115035654544861,-0.01955073683073838,-0.002727203100590416,-0.016823533730147965,39.086294416243675,0.011299435028248705,0.2628571428571429
2021-05-27,7.22,7.88,7.88,7.17,103369,79853666.0,9.92,10.06,0.72,5.09,7.111,7.1046000000000005,7.216179545758103,7.171699680134131,0.04447986562397244,0.006714210644322155,0.03776565497965028,63.675213675213655,0.1420289855072463,0.28500000000000003
2021-05-28,7.99,7.66,8.29,7.52,269537,213923010.0,9.77,-2.79,-0.22,13.26,7.164,7.126600000000001,7.284459615641472,7.2078700741982695,0.07658954144320251,0.02068927680409823,0.05590026463910429,60.56910569105692,0.07433380084151486,0.32071428571428573
2021-05-31,7.55,7.64,7.74,7.51,137044,103989093.0,3.0,-0.26,-0.02,6.74,7.231999999999999,7.145,7.339158136312014,7.239879698331731,0.09927843798028313,0.03640710903933521,0.06287132894094792,59.919028340080956,0.09770114942528729,0.3178571428571429
2021-06-01,7.58,7.52,7.58,7.44,99787,74705406.0,1.83,-1.57,-0.12,4.91,7.3,7.1610000000000005,7.366979961494781,7.260629350307158,0.10635061118762312,0.050395809468992796,0.05595480171863033,58.73015873015872,0.09941520467836251,0.3228571428571428
2021-06-02,7.52,7.46,7.55,7.38,74096,55251844.0,2.26,-0.8,-0.06,3.65,7.3549999999999995,7.169799999999999,7.381290736649431,7.275397546580702,0.10589319006872877,0.06149528558893999,0.04439790447978878,61.66666666666666,0.07959479015918958,0.3199999999999999
2021-06-03,7.46,7.46,7.56,7.41,74448,55835932.0,2.01,0.0,0.0,3.66,7.4159999999999995,7.182799999999999,7.3933998540879795,7.28907180238954,0.10432805169843995,0.07006183881084,0.034266212887599956,57.603686635944705,0.089051094890511,0.3049999999999999
2021-06-04,7.41,7.35,7.47,7.26,59221,43476061.0,2.82,-1.47,-0.11,2.91,7.438,7.187799999999999,7.38672295345906,7.293585002212536,0.0931379512465238,0.07467706129797676,0.01846088994854704,59.24170616113742,0.030855539971949453,0.3042857142857142
2021-06-07,7.35,7.42,7.42,7.3,33553,24759183.0,1.63,0.95,0.07,1.65,7.459999999999999,7.1926,7.3918424990807425,7.302949076122719,0.08889342295802383,0.07752033362998617,0.011373089328037655,64.07766990291262,0.030555555555555447,0.29785714285714276
2021-06-08,7.43,7.54,7.58,7.37,61312,45907375.0,2.83,1.62,0.12,3.02,7.509,7.2,7.414635960760628,7.320508403817332,0.09412755694329622,0.08084177829264819,0.013285778650648034,64.92890995260662,0.06950354609929077,0.30071428571428566
2021-06-09,7.53,7.44,7.55,7.4,45513,33973044.0,1.99,-1.33,-0.1,2.24,7.537000000000001,7.203,7.418538120643609,7.329359633164196,0.08917848747941282,0.08250912013000113,0.0066693673494116895,63.72093023255815,0.03910614525139677,0.2992857142857142
2021-06-10,7.44,7.4,7.45,7.36,31506,23360153.0,1.21,-0.54,-0.04,1.55,7.489,7.2028,7.415686102083054,7.334592252929811,0.08109384915324291,0.08222606593464948,-0.0011322167814065698,57.06806282722514,-0.060913705583756306,0.2835714285714285
